Year,Australia,Austria,Belgium,Canada,Switzerland,Chile,Colombia,Costa Rica,Germany,Denmark,Spain,Estonia,Finland,France,United Kingdom,Greece,Hungary,Ireland,Iceland,Israel,Italy,Japan,Lithuania,Luxembourg,Latvia,Mexico,Netherlands,Norway,New Zealand,Poland,Portugal,Slovenia,Sweden,United States,OECD members
1997,25.13001536,25.85614593,26.18456369,23.27016909,30.60917485,27.51597601,15.00977002,15.65935661,24.42750536,26.37974743,22.82343329,21.61190833,28.57065473,22.35130528,18.3011417,14.43475391,27.24383557,33.68623981,22.23726491,23.31162334,23.7148655,32.09424641,14.32432228,41.69234219,12.04497073,23.26784782,29.79061841,33.11730072,24.32380862,19.91230864,18.52768214,25.0206988,26.44861497,21.22090312,24.52696939
1998,24.76647885,26.31900845,25.98822648,23.08006367,31.18685519,25.0696706,13.8338578,18.54944031,25.22565779,25.67569488,23.50371428,21.92053966,30.31694497,23.2108085,17.7810538,14.21864683,27.14583362,35.88223663,21.51675596,23.65238785,23.25997094,31.33526835,12.78870488,41.14980747,13.68493004,23.89939683,29.68906314,30.13853429,22.14910228,20.39279289,19.14911771,25.51535716,27.02743616,21.16296732,24.2497453
1999,23.7055871,26.85240365,26.64514031,24.43137679,30.82528743,24.47309263,13.42401236,18.65691583,24.29887736,26.83732568,23.63005299,21.89305797,30.88550533,23.4742909,17.04925387,13.89304392,24.42567359,37.52184423,19.05399975,24.01427112,22.48195554,29.68586166,11.22327513,43.63888052,12.47974172,23.55788927,29.23528418,31.84546252,23.7333192,19.59574899,18.67744039,24.81256233,26.73028773,20.72423792,23.75671503
2000,24.0957092,27.10384646,26.64761655,26.35898678,32.17278042,25.28634022,14.05882099,20.02241115,24.12967328,29.00968724,23.72859108,26.03839009,32.44174622,23.58792801,17.21659375,15.02307071,24.3740793,38.33065415,18.05261889,25.4522694,22.17126218,29.78203746,12.96779482,45.43659067,16.7937974,21.95379346,29.67772468,38.73127069,25.00771869,18.23568619,17.732882,25.35627421,27.24845254,19.96092656,23.594025
2001,23.47901193,27.02329247,26.28090351,25.39651474,32.06069207,25.64106947,12.90541109,20.27987541,24.32610805,28.8859394,24.22227865,26.60675076,32.52542994,23.48262424,16.57003756,14.60524238,24.94478755,39.02742106,22.0475373,22.98807805,22.56433499,28.34895032,13.91339904,43.84798439,17.71622113,21.38768501,29.87404258,37.36216321,26.58027224,16.87688223,17.94018883,25.83490133,27.5323489,18.61642617,22.56483106
2002,24.41165662,27.77998425,26.32484788,24.20969651,31.55237189,26.13897662,13.90004199,17.92144545,24.20008456,28.10294995,24.73204187,26.38576352,31.12907572,23.0290692,15.99368495,14.3899604,23.55725717,39.63249828,21.40878012,21.19341315,22.80602097,27.16262834,15.39033314,42.46210502,18.15569569,20.50266271,28.42547539,33.75096299,25.78320918,14.9944769,17.74279455,26.70384482,26.84128428,17.69904735,21.84081247
2003,23.84996787,26.95822475,26.32217189,24.42820915,31.09035895,27.82766491,15.31623492,16.98076934,23.19777223,27.67098465,25.32394482,26.875193,29.25636395,22.32566987,15.81217705,15.99084675,20.6719902,39.47946148,18.33703574,22.03044003,22.03427074,27.2664049,16.44729385,42.02771716,17.89549361,18.85244606,27.60530665,32.45216567,25.89445129,16.17503979,16.71014167,26.51785748,26.58843136,17.18963553,21.62980562
2004,24.37908595,27.29170727,27.56120972,25.86417553,31.63134041,30.72536625,17.11907253,18.08880034,23.9853208,27.28145301,24.59982397,27.19609015,29.43914931,22.69081144,15.46713119,16.57284765,23.06317571,40.06889584,19.23289162,22.73822164,22.22928753,27.54638309,16.41553808,43.54716192,18.38395035,20.0649414,28.46909079,35.05787913,25.56952361,17.63182797,15.95383328,27.58920838,27.86331488,17.46158447,22.13664481
2005,24.74493269,26.99543226,27.71767037,26.61804916,32.63639492,31.55631065,18.17563129,16.67052656,23.68872301,27.52273792,24.58609967,28.77815602,28.95497553,22.41563041,15.85738399,13.79749577,23.18893509,40.30825023,17.13694087,23.34965713,21.42754746,27.45416285,17.18640582,45.08151749,21.47711951,18.69702642,29.3072776,38.83693692,23.97122814,18.84680552,14.58244446,28.05397517,27.77115964,17.70127409,22.17641421
2006,25.65254581,27.69475195,28.01303392,26.33220943,34.89214973,36.20603374,18.75478244,17.89915712,25.07765294,28.20161995,24.86736002,30.02262223,28.86712445,22.67160803,16.49386769,16.73544296,24.78082829,39.95384386,19.34718272,23.65954796,21.54295226,27.3759077,16.59677243,48.60495136,20.03067603,20.83357632,30.03111786,41.34410489,23.37387503,19.57144521,15.09342909,30.52632033,29.31990041,17.84502326,22.56887835
2007,25.86097814,29.40913058,28.73843668,26.02132272,36.56258576,35.63070175,19.22166784,17.99444744,27.17711292,27.97867041,24.6782257,31.69317973,30.65984529,23.13361281,16.70373039,15.64140841,24.96308159,37.96289963,20.58415592,23.30829652,22.28213412,27.53039831,19.34502521,51.18171629,23.55785004,20.72914274,30.85046766,41.04794816,24.89647673,21.61547968,15.5421378,31.96392388,29.97786031,17.47313915,22.86456608
2008,26.0541238,29.0106303,26.60956249,25.81923188,36.89266362,30.54543781,20.7724623,15.82214868,26.68264033,27.50724998,23.74653012,28.25042443,29.11512306,22.68543056,15.90756777,13.31031954,25.10136535,32.96600151,23.93413256,22.43253195,21.31004403,26.21117123,16.64789652,51.35568228,23.67655793,19.46606341,31.26520999,43.43399558,22.47605672,19.51900894,14.0259084,31.0300229,29.17943364,16.02140223,22.04676599
2009,27.64544675,26.10152375,24.08015416,20.46248602,34.58534297,30.46524655,19.68044596,17.95820592,22.80419421,23.63557113,22.48604367,26.12252629,23.78848323,20.28054278,13.72460779,10.00047336,24.50725801,32.68378096,23.36795388,23.28980649,19.11522001,23.05214144,11.22465689,48.50036528,21.17130665,19.49732938,28.67069836,36.45155658,22.05736283,19.79741852,13.93729939,25.18896481,25.41876106,14.87366373,19.93674338
2010,25.85557861,26.08370241,23.88829057,21.52617635,35.50569194,30.86577616,20.30584862,17.98065153,24.65956438,24.61598635,21.36109809,28.00779771,24.09445806,20.40329044,14.6169259,10.75090697,25.93401449,33.87198361,23.75520117,23.15913887,18.97216265,23.92883833,15.82832052,49.83103087,18.79990226,18.18308951,28.53012805,37.049672,22.47100943,18.41723026,13.56538273,23.63521531,27.08299604,15.13503481,20.45091895
2011,27.48768292,26.92581486,24.25676985,22.95138335,35.83599287,29.54421445,22.07817803,16.35397484,26.14543946,25.1418152,20.97858125,31.26132902,23.74187347,20.97170446,15.1393308,8.3936611,26.51616244,35.4272203,23.26553331,23.11255405,19.33112147,22.89453248,19.66032989,49.5325907,20.64328779,18.76925714,28.50492292,39.16981532,22.10909262,20.05773897,14.47683042,23.10254144,27.67335117,15.3179811,20.90743254
2012,27.53825118,26.81016273,23.30287891,22.92183964,35.76111465,28.32638758,20.89190361,16.10829088,25.54124797,25.02637625,20.63990641,30.72061413,22.00540978,20.88196511,15.07135084,7.798004406,26.27087609,36.99439634,21.78248989,23.61116239,19.05568534,22.36354805,20.88361911,49.38904796,23.09119941,19.38832533,28.34061547,39.9477118,21.81531445,20.01785184,15.25956553,22.29518307,26.36135956,16.55698269,21.06569539
2013,26.55400382,26.55538098,22.95814947,23.33480002,35.59765278,26.52859803,20.3687755,16.7073483,25.58368907,25.58151971,21.25448008,29.51786679,21.35166612,20.88377877,15.13994075,9.812579644,28.09538499,39.05009599,23.17562134,23.9445433,19.32692256,22.00716885,21.87552645,50.37852823,20.77301379,17.53938847,28.4512303,39.0774463,23.74686959,20.24511408,15.78092491,24.53333009,25.7302114,17.54493583,21.35861666
2014,26.41838817,27.07220232,23.47972618,23.93712558,36.01431276,25.53127123,19.78534624,16.7577418,26.69566557,26.6041494,21.18756551,30.16262733,20.97835855,21.12082969,15.77534451,10.73334764,29.90784524,42.34558391,23.5962616,24.23366839,19.86695526,22.44223812,22.23078638,51.22991647,21.76789413,17.43769989,28.75526615,37.52792734,23.80232304,21.23460327,15.49391604,26.57845316,25.9574744,18.01105262,21.76255057
2015,24.74194432,27.65581501,24.00916402,21.31320581,35.59429257,24.63248645,16.7133512,18.09148023,26.8793285,27.04182063,22.38876951,28.50371129,21.24248306,21.59884412,16.35773625,11.10936318,31.24476605,56.0250949,26.88886367,25.03998693,20.13385378,24.6114592,21.56841347,51.49740765,22.96084743,18.94949973,29.82786856,33.63733047,24.16120785,22.86954206,16.67864606,27.57859682,27.04829804,18.54927289,22.18891238
2016,23.03159271,28.19032737,24.3601434,20.46764975,35.63145588,23.49724542,16.39904513,19.2306554,26.99791309,27.71583965,23.02650033,28.23704798,22.23932282,21.25152432,16.03900293,11.1691956,29.95411121,54.51712179,27.71893916,24.70145247,20.87720921,25.6412522,21.01604,51.69177137,22.28227296,19.49574414,30.62991634,30.48585783,23.90209208,23.03425583,17.21619382,27.48263415,26.88383031,18.21167692,22.16501606
2017,24.48592016,28.10519753,24.316565,21.32043626,35.11948732,23.27326466,16.6070414,18.51828679,27.59860827,28.43306271,23.1990113,29.91370046,24.56053688,21.40921913,17.142237,10.56433589,29.71386176,57.35650327,26.22697195,24.84075135,20.86619436,25.97450969,22.77440392,50.59073265,22.27793936,20.54863194,30.92822773,31.90861072,24.62369808,22.7273046,18.52385149,29.31216161,26.9424625,18.38539286,22.5825233
2018,24.69836513,28.93227722,24.23999732,21.43163219,36.26232111,23.08411727,16.46016212,18.9015401,27.45765972,27.68506714,23.4463934,30.16616467,24.82999504,21.6452769,16.79902096,10.9768419,31.05931517,58.09292577,25.5660301,24.75111901,21.01289702,25.66165574,24.26354655,49.62345872,23.3798296,21.35269227,31.03421558,34.16575774,23.90184634,23.46656969,19.14418715,30.08462261,26.96067896,18.69793531,22.76792227
2019,25.52309098,29.23701432,25.14505838,21.58194957,36.24096822,23.07659084,15.55815287,18.9541983,26.93893428,27.89574776,23.89372343,30.04224878,25.17042739,22.37519852,16.98309833,10.63014302,30.7010752,59.18358565,25.23739196,25.5139574,21.56969465,25.50031295,24.8428362,49.16787478,23.12053563,21.77001962,31.72324279,31.99750232,23.91704713,24.35243259,19.30352896,29.50436508,28.42090394,18.98972339,22.82721827
2020,25.81670042,29.10035844,25.51218769,20.47510365,35.98388616,25.53612402,12.11712709,19.83616373,27.01184478,28.40308026,22.14256996,28.5703343,25.33811081,21.07997313,18.13960255,6.148074868,29.16671156,62.65367553,19.97060675,28.17837382,21.4109133,24.97757537,25.59262823,51.31444732,23.5907124,21.64843564,31.60179947,30.41884113,22.40908315,24.44808497,17.42196873,29.18426334,28.59928882,18.48635192,22.59156908
2021,26.74815972,28.53656476,26.31138256,24.33985149,38.42357691,23.17732775,11.25181741,20.15285664,27.61993875,29.83880628,22.86361348,29.85537687,24.84242093,22.23510181,17.8029229,9.991127977,30.83262402,64.73046543,21.22031447,28.81795076,24.04237291,25.19851733,26.28815782,52.14373903,22.5524155,20.26952728,31.93898267,39.93794073,21.28515736,25.01234258,18.15807658,27.72730937,29.57777999,17.70157819,22.87382485
2022,29.00959478,28.50281539,25.476059,25.51899218,38.23906126,21.63081244,12.13485455,20.28019334,25.5179635,34.24770657,23.5377238,28.50738575,25.21944657,21.40631949,16.19199122,10.34462982,29.53395047,64.76218738,24.24194778,29.84835915,22.93717113,22.82733508,25.98339254,51.78851269,19.33287864,18.12932447,31.64305407,50.00895205,20.73474087,23.7431672,18.97273497,26.1647616,28.83135833,18.26254293,22.48517726
2023,28.34735403,27.29791263,24.73010324,23.5815002,37.01331014,24.26017038,8.783128071,20.61585871,25.67813071,30.97723618,24.93139001,25.85581245,22.52414752,21.15387082,16.60699206,11.99145995,30.4578439,59.61057857,25.35876981,29.79275072,23.97433103,24.63085377,25.83797871,48.79076589,20.25471225,18.60633846,31.12844804,40.60702233,20.6942148,23.28115216,21.4415458,28.62983468,28.97597287,18.66469577,22.43525888
